created_at,candidate,tweet_id,tweet,likes,retweet_count,source,user_id,user_name,user_screen_name,user_description,user_join_date,user_followers_count,user_location,lat,long
2020-10-15,trump,18474,18474,18474,18474,18425,18474,18472,18474,16582,18474,18474,12927,10135,10135
2020-10-16,trump,25342,25342,25342,25342,25297,25342,25342,25342,22696,25342,25342,17550,13758,13758
2020-10-17,trump,17262,17262,17262,17262,17203,17262,17258,17262,15516,17262,17262,12017,9367,9367
2020-10-18,trump,17824,17824,17824,17824,17772,17824,17824,17824,15901,17824,17824,12186,9555,9555
2020-10-19,trump,20296,20296,20296,20296,20244,20296,20296,20296,18091,20296,20296,14017,11035,11035
2020-10-20,trump,19435,19435,19435,19435,19385,19435,19435,19435,17442,19435,19435,13452,10568,10568
2020-10-21,trump,21179,21179,21179,21179,21129,21179,21179,21179,19155,21179,21179,14485,11256,11256
2020-10-22,trump,22918,22918,22918,22918,22856,22918,22918,22918,20650,22918,22918,15939,12418,12418
2020-10-23,trump,49674,49674,49674,49674,49610,49674,49673,49674,44793,49674,49674,35145,27483,27483
2020-10-24,trump,19098,19098,19098,19098,19044,19098,19098,19098,16995,19098,19098,13057,10328,10328
2020-10-25,trump,17788,17788,17788,17788,17773,17788,17788,17788,15885,17788,17788,12356,9601,9601
2020-10-15,biden,15286,15286,15286,15286,15243,15286,15285,15286,13377,15285,15285,10042,7883,7883
2020-10-16,biden,18278,18278,18278,18278,18233,18278,18267,18278,16206,18275,18275,12530,9976,9976
2020-10-17,biden,11752,11752,11752,11752,11700,11752,11751,11752,10170,11744,11744,7833,6250,6250
2020-10-18,biden,10674,10674,10674,10674,10621,10674,10674,10674,9271,10671,10671,7178,5706,5706
2020-10-19,biden,11105,11105,11105,11105,11056,11105,11105,11105,9684,11103,11103,7454,5958,5958
2020-10-20,biden,12162,12162,12162,12162,12112,12162,12162,12162,10742,12161,12161,8229,6632,6632
2020-10-21,biden,13327,13327,13327,13327,13279,13327,13327,13327,11807,13325,13325,8888,7136,7136
2020-10-22,biden,16067,16067,16067,16067,16016,16067,16067,16067,14250,16059,16059,10973,8707,8707
2020-10-23,biden,45311,45311,45311,45311,45258,45311,45311,45311,40150,45310,45310,31090,24520,24520
2020-10-24,biden,12890,12890,12890,12890,12838,12890,12890,12890,11205,12890,12890,8529,6820,6820
2020-10-25,biden,14721,14721,14721,14721,14711,14721,14721,14721,12859,14716,14716,9902,7845,7845
